,STATE,COUNTY_NAME,ENROLLMENT
0,DE,Kent,0
1,DE,New Castle,33
2,DE,Sussex,49
3,PA,Adams,1719
4,PA,Allegheny,16510
5,PA,Armstrong,1829
6,PA,Beaver,2531
7,PA,Bedford,634
8,PA,Berks,5206
9,PA,Blair,1736
10,PA,Bradford,729
11,PA,Bucks,98
12,PA,Butler,2932
13,PA,Cambria,1452
14,PA,Cameron,70
15,PA,Carbon,638
16,PA,Centre,5033
17,PA,Chester,121
18,PA,Clarion,390
19,PA,Clearfield,834
20,PA,Clinton,190
21,PA,Columbia,102
22,PA,Crawford,685
23,PA,Cumberland,4596
24,PA,Dauphin,5316
25,PA,Delaware,92
26,PA,Elk,284
27,PA,Erie,3749
28,PA,Fayette,1239
29,PA,Forest,98
30,PA,Franklin,2204
31,PA,Fulton,274
32,PA,Greene,339
33,PA,Huntingdon,624
34,PA,Indiana,952
35,PA,Jefferson,348
36,PA,Juniata,205
37,PA,Lackawanna,1659
38,PA,Lancaster,5275
39,PA,Lawrence,965
40,PA,Lebanon,3769
41,PA,Lehigh,3156
42,PA,Luzerne,2744
43,PA,Lycoming,506
44,PA,McKean,384
45,PA,Mercer,1229
46,PA,Mifflin,509
47,PA,Monroe,1119
48,PA,Montgomery,145
49,PA,Montour,11
50,PA,Northampton,3500
51,PA,Northumberland,206
52,PA,Perry,884
53,PA,Philadelphia,97
54,PA,Pike,720
55,PA,Potter,155
56,PA,Schuylkill,1592
57,PA,Snyder,109
58,PA,Somerset,922
59,PA,Sullivan,58
60,PA,Susquehanna,328
61,PA,Tioga,376
62,PA,Union,103
63,PA,Venango,273
64,PA,Warren,197
65,PA,Washington,4114
66,PA,Wayne,267
67,PA,Westmoreland,6922
68,PA,Wyoming,210
69,PA,York,5275
70,WV,Barbour,0
71,WV,Berkeley,0
72,WV,Boone,0
73,WV,Braxton,13
74,WV,Brooke,14
75,WV,Cabell,376
76,WV,Calhoun,0
77,WV,Clay,0
78,WV,Doddridge,12
79,WV,Fayette,16
80,WV,Gilmer,0
81,WV,Grant,0
82,WV,Greenbrier,0
83,WV,Hampshire,0
84,WV,Hancock,43
85,WV,Hardy,0
86,WV,Harrison,19
87,WV,Jackson,0
88,WV,Jefferson,0
89,WV,Kanawha,62
90,WV,Lewis,45
91,WV,Lincoln,15
92,WV,Logan,0
93,WV,Marion,0
94,WV,Marshall,52
95,WV,Mason,33
96,WV,McDowell,0
97,WV,Mercer,0
98,WV,Mineral,74
99,WV,Mingo,0
100,WV,Monongalia,19
101,WV,Monroe,0
102,WV,Morgan,0
103,WV,Nicholas,0
104,WV,Ohio,71
105,WV,Pendleton,0
106,WV,Pleasants,0
107,WV,Pocahontas,0
108,WV,Preston,0
109,WV,Putnam,33
110,WV,Raleigh,0
111,WV,Randolph,0
112,WV,Ritchie,0
113,WV,Roane,0
114,WV,Summers,0
115,WV,Taylor,0
116,WV,Tucker,0
117,WV,Tyler,49
118,WV,Upshur,0
119,WV,Wayne,118
120,WV,Webster,0
121,WV,Wetzel,91
122,WV,Wirt,0
123,WV,Wood,71
124,WV,Wyoming,0
